date,metric,value,entity
2025-01-31,Revenue,1120,North
2025-01-31,COGS,430,North
2025-01-31,OpEx,295,North
2025-02-28,Revenue,1150,North
2025-02-28,COGS,445,North
2025-02-28,OpEx,305,North
2025-03-31,Revenue,1205,North
2025-03-31,COGS,480,North
2025-03-31,OpEx,310,North
2025-04-30,Revenue,1180,North
2025-04-30,COGS,470,North
2025-04-30,OpEx,315,North
2025-05-31,Revenue,1210,North
2025-05-31,COGS,490,North
2025-05-31,OpEx,320,North
2025-06-30,Revenue,1250,North
2025-06-30,COGS,510,North
2025-06-30,OpEx,330,North
