date,metric,value,entity
2025-01-31,Revenue,1100,North
2025-01-31,COGS,420,North
2025-01-31,OpEx,300,North
2025-02-28,Revenue,1125,North
2025-02-28,COGS,435,North
2025-02-28,OpEx,300,North
2025-03-31,Revenue,1180,North
2025-03-31,COGS,460,North
2025-03-31,OpEx,305,North
2025-04-30,Revenue,1190,North
2025-04-30,COGS,465,North
2025-04-30,OpEx,310,North
2025-05-31,Revenue,1200,North
2025-05-31,COGS,480,North
2025-05-31,OpEx,315,North
2025-06-30,Revenue,1225,North
2025-06-30,COGS,500,North
2025-06-30,OpEx,320,North
